,id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,id,business_id,category
0,018BsTDbjFjZyWgR0rW_1w,Healthcare Preparatory Institute,Northwest,"5831 W Craig Rd, Ste 102",Las Vegas,NV,89130,36.2375,-115.224,2.0,4,1,18,PfOCPjBrlQAnz__NXj9h_w,Nightlife
1,039QG6ks4UYNkMA3mcII2A,Episage Wellness Center,University,"1601 E Flamingo Rd, Ste 20",Las Vegas,NV,89119,36.1136,-115.13,4.5,38,0,39,XOSRcvtaKc_Q5H1SAzN20A,Coffee & Tea
2,041JPDI1PBSuNSTcvtYomQ,Cabinets & Co,Westside,"6145 W Sahara Ave, Ste 5",Las Vegas,NV,89146,36.1429,-115.227,5.0,6,1,41,XOSRcvtaKc_Q5H1SAzN20A,Restaurants
3,042AqS-UB74g841zmoCEEA,Paradise Bay Pet Resort,Southeast,"6360 S Pecos Rd, Ste 14",Las Vegas,NV,89120,36.0728,-115.1,2.0,4,1,42,XOSRcvtaKc_Q5H1SAzN20A,Sandwiches
4,054_-sJ-nYq_DsuWYgqNdg,Jimmy Pettyjohn Jr. Park,Southwest,11322 Southern Highlands Pkwy,Las Vegas,NV,89141,35.9841,-115.192,4.0,5,1,54,fNMVV_ZX7CJSDWQGdOM8Nw,Restaurants
5,069TWjwxctY-3X_TitxJKQ,Starbuzz Vegas Hookah Lounge,Eastside,"384 E Tropicana Ave, Ste 120",Las Vegas,NV,89169,36.1029,-115.156,4.0,101,1,69,Gu-xs3NIQTj3Mj2xYoN2aw,Bakeries
6,070x611bvBrBqG3ODqe3dg,Bags Belts & Baubles,The Strip,3131 Las Vegas Blvd S,Las Vegas,NV,89109,36.1266,-115.165,4.5,3,1,70,Gu-xs3NIQTj3Mj2xYoN2aw,Restaurants
7,0953KSZ26LmJ7CDacVzpYg,dd's DISCOUNTS,Eastside,3430 E Tropicana Ave,Las Vegas,NV,89121,36.1009,-115.1,2.5,3,1,953,by_hdCLqAMHW8EEfPYjktA,French
8,096iGHoQ-UImxUExuyqlZA,House of Aloha,Northwest,4588 N Rancho Dr,Las Vegas,NV,89130,36.2433,-115.235,5.0,13,1,96,AtdXq_gu9NTE5rx4ct_dGg,Coffee & Tea
9,104riqnE_J2Rz7VV4K2NCQ,Rock Solid Home Repair,Spring Valley,,Las Vegas,NV,89148,36.0612,-115.29,3.5,3,1,104,gAy4LYpsScrj8POnCW6btQ,American (Traditional)
10,127i5uC5PTjWdvBMXEn9Ww,Bikini Bar,Chinatown,3355 Spring Mountain Rd,Las Vegas,NV,89103,36.126,-115.185,3.5,12,1,127,8y56fOiKhtCnqaiYB2S2Qg,Bars
11,148d7J-cFejkhYV89y3Jsg,Gondola Ride at the Venetian,The Strip,3355 S Las Vegas Blvd,Las Vegas,NV,89109,36.1215,-115.17,3.5,257,1,148,tRVx2c89coruPRwYhGTcTw,Japanese
12,15dYv2JncJypOSL9aKc0zg,HotPoint Realty,Chinatown,6292 W Spring Mountain Rd,Las Vegas,NV,89146,36.1255,-115.229,2.0,5,1,15,8DShNS-LuFqpEWIp0HxijA,Sporting Goods
13,15jmBXmNy9s6qVV8OepR1Q,Club Rio,Sunrise,821 N Lamb Blvd,Las Vegas,NV,89110,36.1782,-115.08,3.5,6,1,15,8DShNS-LuFqpEWIp0HxijA,Sporting Goods
14,15KIfPDU5IQ07l79Wn1Eew,Panadería y Pastelería Latina,Westside,6122 W Charleston Blvd,Las Vegas,NV,89146,36.1593,-115.225,4.0,14,1,15,8DShNS-LuFqpEWIp0HxijA,Sporting Goods
15,15pQOhykOF_aSedaxsjoKQ,Shepherd Eye Center,Anthem,2475 West Horizon Ridge Pkwy,Henderson,NV,89052,36.0054,-115.095,3.0,28,1,15,8DShNS-LuFqpEWIp0HxijA,Sporting Goods
16,15_YllaQ7n_DOFTq1v0-lQ,Sushi Hana,Spring Valley,5255 S Decatur Blvd,Las Vegas,NV,89118,36.0944,-115.208,3.5,8,0,15,8DShNS-LuFqpEWIp0HxijA,Sporting Goods
17,164DF7e2ndoyP-C3dMytqA,Maman Photography,Southeast,,Las Vegas,NV,89123,36.0357,-115.153,4.0,4,1,164,BnuzcebyB1AfxH0kjNWqSg,Seafood
18,17hVooOxch5apryhBkBdZQ,Marshalls,The Strip,3785 Las Vegas Blvd,Las Vegas,NV,89109,36.1037,-115.173,3.5,20,1,17,PfOCPjBrlQAnz__NXj9h_w,American (New)
19,17KjGxHTPCRwkPdEL95QPg,Reflecting Hands Massage Therapy,Westside,"5450 W Sahara Ave, Ste 138",Las Vegas,NV,89146,36.1449,-115.216,4.5,63,1,17,PfOCPjBrlQAnz__NXj9h_w,American (New)
20,17p-KOyT-t6OGS90J18jzQ,Glittering Lights,,7000 Las Vegas Blvd N,Las Vegas,NV,89115,36.2715,-115.001,3.5,85,1,17,PfOCPjBrlQAnz__NXj9h_w,American (New)
21,17UkAXwrC8aNOAZMrMq7Cw,VZ Dance Studios,Westside,"7207 W Sahara Ave, Ste 130",Las Vegas,NV,89117,36.1436,-115.25,4.0,6,1,17,PfOCPjBrlQAnz__NXj9h_w,American (New)
22,17V-PM_2t0QIAvU0euBovg,VooDoo Beach,,"Rio All-suite Hotel Casino, 3700 W Flamingo Rd, Rio All-suite Hotel Casino",Las Vegas,NV,89103,36.1164,-115.185,3.5,31,1,17,PfOCPjBrlQAnz__NXj9h_w,American (New)
23,17z_a9bdUEEdPUizUnNOvw,Paragon of Summerlin,Northwest,"7324 W Cheyenne Ave, Ste 7",Las Vegas,NV,89129,36.2189,-115.253,5.0,13,1,17,PfOCPjBrlQAnz__NXj9h_w,American (New)
